"","CensusYear","Population"
"1",2017,11194
"2",2013,5818
"3",2014,5808
"4",2014,26297
"5",2015,26878
"6",2012,6837
"7",2010,12339
"8",2018,4496
"9",2019,4420
"10",2013,5875
"11",2017,28015
"12",2018,28519
"13",2013,122404
"14",2014,121912
"15",2012,1686
"16",2013,1657
"17",2018,279
"18",2019,273
"19",2014,3176
"20",2015,3116
"21",2010,8711
"22",2016,9828
"23",2017,9785
"24",2010,198957
"25",2011,5228
"26",2011,8904
"27",2012,8770
"28",2017,9239
"29",2010,6501
"30",2014,23398
"31",2016,15867
"32",2017,15866
"33",2011,4799
"34",2015,114111
"35",2016,115311
"36",2013,5173
"37",2016,62336
"38",2017,63026
"39",2013,12816
"40",2017,1769
"41",2018,1774
"42",2011,19157
"43",2012,19219
"44",2019,9756
"45",2015,7219
"46",2016,7173
"47",2015,12518
"48",2017,16058
"49",2018,15833
"50",2013,226496
"51",2014,228964
"52",2019,57331
"53",2014,4626
"54",2017,7863
"55",2013,11190
"56",2014,11290
"57",2016,27523
"58",2010,7114
"59",2018,6543
"60",2019,6405
"61",2014,12063
"62",2015,12103
"63",2012,4719
"64",2013,4643
"65",2019,5458
"66",2016,27229
"67",2010,119901
"68",2019,51880
"69",2016,1601
"70",2018,2919
"71",2011,8548
"72",2016,7976
"73",2017,7844
"74",2013,10115
"75",2017,205494
"76",2016,4951
"77",2016,8478
"78",2017,8291
"79",2014,9343
"80",2016,6491
"81",2017,6416
"82",2011,3424
"83",2017,23026
"84",2018,22770
"85",2011,16286
"86",2012,16221
"87",2017,4533
"88",2018,4505
"89",2014,113521
"90",2019,5100
"91",2011,57712
"92",2011,12776
"93",2012,12735
"94",2019,1762
"95",2013,19363
"96",2014,19256
"97",2012,7586
"98",2013,7420
"99",2013,12760
"100",2014,12673
"101",2010,16424
"102",2011,216518
"103",2016,58213
"104",2017,57852
"105",2015,4686
"106",2016,4701
"107",2013,7937
"108",2011,11186
"109",2010,5998
"110",2017,28106
"111",2018,28925
"112",2017,6671
"113",2016,12119
"114",2017,12070
"115",2011,4623
"116",2016,5751
"117",2017,5664
"118",2012,25372
"119",2013,25782
"120",2018,119938
"121",2019,119131
"122",2016,50421
"123",2017,51245
"124",2015,281
"125",2016,248
"126",2013,3194
"127",2017,8213
"128",2018,8186
"129",2011,8380
"130",2012,8290
"131",2018,9779
"132",2014,5059
"133",2015,4943
"134",2010,9055
"135",2012,9388
"136",2013,9443
"137",2015,6483
"138",2019,3390
"139",2011,23460
"140",2018,15746
"141",2019,15568
"142",2012,4728
"143",2013,4692
"144",2018,116435
"145",2019,116992
"146",2013,59499
"147",2014,60414
"148",2019,12968
"149",2012,1773
"150",2013,1751
"151",2016,8679
"152",2019,6815
"153",2014,16138
"154",2010,205747
"155",2011,56699
"156",2012,57109
"157",2018,4826
"158",2019,4796
"159",2017,41741
"160",2013,3540
"161",2012,11136
"162",2015,5783
"163",2010,23793
"164",2013,6850
"165",2014,6847
"166",2011,12197
"167",2012,12119
"168",2017,4457
"169",2010,6053
"170",2010,24295
"171",2011,121481
"172",2015,49637
"173",2019,1574
"174",2012,208
"175",2019,2895
"176",2012,8526
"177",2013,8441
"178",2011,10267
"179",2012,10213
"180",2015,204831
"181",2016,205768
"182",2011,9503
"183",2011,6508
"184",2012,6513
"185",2014,3387
"186",2015,3352
"187",2013,16174
"188",2014,16032
"189",2014,4608
"190",2015,4588
"191",2010,112422
"192",2017,5130
"193",2018,5176
"194",2012,58499
"195",2014,12975
"196",2015,13242
"197",2014,1776
"198",2018,18935
"199",2019,18778
"200",2014,7811
"201",2015,8090
"202",2011,7301
"203",2016,12309
"204",2017,12136
"205",2015,231490
"206",2016,231936
"207",2012,4740
"208",2013,4609
"209",2016,7818
"210",2011,42030
"211",2016,3371
"212",2017,3343
"213",2013,3998
"214",2018,11175
"215",2019,11009
"216",2016,5764
"217",2017,5706
"218",2011,24441
"219",2018,11949
"220",2015,4593
"221",2016,4563
"222",2011,24658
"223",2017,120893
"224",2010,47947
"225",2011,1708
"226",2017,255
"227",2014,8402
"228",2018,7740
"229",2019,7622
"230",2014,10075
"231",2015,9864
"232",2018,205225
"233",2019,205346
"234",2012,5137
"235",2013,5075
"236",2018,8208
"237",2015,9384
"238",2016,9321
"239",2018,6372
"240",2017,3381
"241",2018,3415
"242",2012,23523
"243",2013,23519
"244",2010,4832
"245",2012,112775
"246",2013,113058
"247",2016,5166
"248",2018,63909
"249",2019,64672
"250",2016,13264
"251",2015,19305
"252",2010,6486
"253",2011,12977
"254",2012,12920
"255",2019,15639
"256",2012,221587
"257",2018,57611
"258",2011,4770
"259",2014,7863
"260",2015,7823
"261",2011,3575
"262",2012,3569
"263",2017,7288
"264",2018,7168
"265",2015,4038
"266",2016,3985
"267",2011,6926
"268",2013,12076
"269",2010,4607
"270",2011,5971
"271",2012,5921
"272",2019,28805
"273",2015,121974
"274",2016,121668
"275",2013,48631
"276",2014,49017
"277",2010,1737
"278",2011,177
"279",2016,3010
"280",2017,3004
"281",2015,8295
"282",2016,8287
"283",2010,8508
"284",2010,10405
"285",2013,203694
"286",2014,204888
"287",2010,5327
"288",2013,8674
"289",2014,8632
"290",2010,9592
"291",2013,6504
"292",2014,6536
"293",2010,3441
"294",2019,22507
"295",2015,15994
"296",2019,4428
"297",2017,116135
"298",2010,5468
"299",2017,13250
"300",2018,13115
"301",2011,1757
"302",2016,19233
"303",2017,19153
"304",2013,7598
"305",2017,7104
"306",2018,6988
"307",2010,13092
"308",2015,16118
"309",2016,16050
"310",2013,57717
"311",2017,4770
"312",2019,7644
"313",2015,41828
"314",2016,41864
"315",2014,7416
"316",2015,7361
"317",2014,9425
"318",2015,9768
"319",2010,13953
"320",2010,11163
"321",2018,5707
"322",2019,5721
"323",2012,25013
"324",2013,25614
"325",2019,11832
"326",2014,4675
"327",2018,5537
"328",2014,26363
"329",2015,26745
"330",2011,48192
"331",2012,48221
"332",2017,1565
"333",2018,1566
"334",2013,220
"335",2014,254
"336",2010,3273
"337",2015,8153
"338",2019,9682
"339",2011,200778
"340",2017,4834
"341",2018,4763
"342",2015,8544
"343",2016,3369
"344",2015,23553
"345",2016,23435
"346",2010,16353
"347",2011,112576
"348",2014,5165
"349",2015,5145
"350",2010,56885
"351",2015,1805
"352",2016,1790
"353",2010,18879
"354",2017,8698
"355",2018,9119
"356",2014,7372
"357",2018,12058
"358",2019,11831
"359",2012,16199
"360",2013,16120
"361",2018,231360
"362",2019,230418
"363",2014,58026
"364",2015,58235
"365",2010,4705
"366",2010,8272
"367",2014,41939
"368",2010,3587
"369",2010,7408
"370",2011,4039
"371",2016,10079
"372",2017,10478
"373",2019,5232
"374",2015,11313
"375",2016,11247
"376",2011,5913
"377",2012,5845
"378",2019,29829
"379",2015,6796
"380",2016,6701
"381",2014,5756
"382",2015,5762
"383",2012,122405
"384",2018,51534
"385",2014,1599
"386",2015,1624
"387",2010,119
"388",2011,3199
"389",2012,3225
"390",2019,8074
"391",2013,8288
"392",2014,8289
"393",2012,202466
"394",2019,4672
"395",2019,8082
"396",2018,9135
"397",2019,9104
"398",2019,6356
"399",2012,3439
"400",2013,3422
"401",2010,23396
"402",2016,4567
"403",2011,5386
"404",2012,5258
"405",2015,61406
"406",2010,12699
"407",2010,1759
"408",2011,6830
"409",2012,7204
"410",2010,7363
"411",2011,16282
"412",2017,231943
"413",2010,55995
"414",2011,8224
"415",2012,8151
"416",2018,41321
"417",2019,41106
"418",2015,3413
"419",2019,7102
"420",2012,3987
"421",2018,10741
"422",2011,13815
"423",2011,5829
"424",2012,5833
"425",2019,10222
"426",2017,24442
"427",2014,3476
"428",2012,7404
"429",2013,7498
"430",2010,4009
"431",2010,6316
"432",2015,13563
"433",2016,13689
"434",2010,5975
"435",2015,10544
"436",2016,10443
"437",2019,24648
"438",2016,34502
"439",2017,34426
"440",2015,16145
"441",2016,16096
"442",2017,40568433
"443",2012,17187
"444",2013,17190
"445",2018,31557
"446",2012,37176
"447",2013,37658
"448",2016,21337
"449",2011,8307
"450",2012,8371
"451",2019,6605
"452",2015,14089
"453",2016,14113
"454",2010,13787
"455",2011,9108
"456",2017,1691
"457",2018,1701
"458",2014,4531
"459",2015,4439
"460",2011,1463356
"461",2014,3944
"462",2019,10963
"463",2012,13751
"464",2013,13732
"465",2018,5300
"466",2011,24126
"467",2012,24144
"468",2018,34117
"469",2010,15999
"470",2012,38756150
"471",2014,17007
"472",2019,32486
"473",2014,38165
"474",2018,2409
"475",2019,2342
"476",2014,21280
"477",2015,21287
"478",2010,6155
"479",2016,8579
"480",2017,8566
"481",2012,14272
"482",2019,13051
"483",2014,1801
"484",2015,1713
"485",2010,7238
"486",2019,6855
"487",2016,4407
"488",2012,1473295
"489",2014,10577
"490",2016,24210
"491",2010,34505
"492",2014,15991
"493",2016,40231299
"494",2010,17705
"495",2010,26715
"496",2011,36996
"497",2016,2522
"498",2017,2456
"499",2010,21074
"500",2012,5962
"501",2015,8542
"502",2010,7309
"503",2010,14575
"504",2014,13669
"505",2015,13589
"506",2018,10404
"507",2019,10484
"508",2011,1830
"509",2015,6946
"510",2019,4277
"511",2013,1483298
"512",2018,24629
"513",2013,34385
"514",2018,15889
"515",2019,15841
"516",2014,39488757
"517",2017,15962
"518",2018,15619
"519",2015,38691
"520",2016,39272
"521",2011,21011
"522",2017,5617
"523",2016,7160
"524",2011,14479
"525",2018,13198
"526",2012,9023
"527",2013,9290
"528",2010,1812
"529",2013,7044
"530",2014,7008
"531",2014,1490481
"532",2015,1496993
"533",2010,41998
"534",2011,7372
"535",2017,3930
"536",2013,8984
"537",2019,13760
"538",2013,5721
"539",2017,10376
"540",2018,10290
"541",2013,23736
"542",2019,33817
"543",2011,16091
"544",2015,39862578
"545",2015,29041
"546",2019,40539
"547",2013,2696
"548",2014,2633
"549",2013,5815
"550",2014,5810
"551",2019,8375
"552",2014,7245
"553",2015,7133
"554",2017,10209
"555",2011,7138
"556",2017,4353
"557",2018,4337
"558",2016,1502700
"559",2018,7735
"560",2012,42020
"561",2013,42003
"562",2018,3354
"563",2019,3325
"564",2016,7355
"565",2018,3967
"566",2019,3967
"567",2011,7427
"568",2012,8201
"569",2017,13650
"570",2018,13717
"571",2014,5541
"572",2015,5517
"573",2010,11157
"574",2010,24442
"575",2014,34472
"576",2015,34467
"577",2011,38379378
"578",2018,40860704
"579",2019,41147488
"580",2019,15434
"581",2011,27075
"582",2012,27420
"583",2017,39924
"584",2018,40281
"585",2011,2869
"586",2012,2761
"587",2017,21108
"588",2018,21079
"589",2011,6096
"590",2018,8461
"591",2011,7247
"592",2017,14152
"593",2011,13704
"594",2012,13653
"595",2015,9852
"596",2016,10066
"597",2016,1691
"598",2018,6839
"599",2012,4616
"600",2013,4520
"601",2018,1502395
"602",2011,10932
"603",2011,34480
"604",2012,34408
"605",2017,16227
"606",2013,39117317
"607",2011,17452
"608",2016,29728
"609",2017,30708
"610",2015,2576
"611",2019,20920
"612",2015,5770
"613",2016,5713
"614",2010,8269
"615",2012,7433
"616",2013,7259
"617",2018,14022
"618",2019,13894
"619",2013,13708
"620",2014,9602
"621",2019,1735
"622",2012,7064
"623",2010,4672
"624",2017,1503753
"625",2014,13673
"626",2016,5487
"627",2017,5387
"628",2012,10727
"629",2013,10618
"630",2014,23986
"631",2015,24083
"632",2012,15885
"633",2013,16012
"634",2010,37922522
"635",2015,16816
"636",2016,16504
"637",2013,28116
"638",2014,28387
"639",2010,36532
"640",2010,2958
"641",2012,20936
"642",2013,21077
"643",2018,5521
"644",2019,5446
"645",2013,8599
"646",2014,8531
"647",2017,6907
"648",2018,6669
"649",2013,14030
"650",2014,14086
"651",2016,13431
"652",2017,13330
"653",2010,8976
"654",2012,1816
"655",2013,1757
"656",2016,6934
"657",2017,6828
"658",2011,4606
"659",2010,1446739
"660",2019,1500991
"661",2000,323392
