Geography,Year,Race,pctHomeownership
New Orleans,1970,All,0.3842
New Orleans,1980,All,0.3971
New Orleans,1990,All,0.4371
New Orleans,2000,All,0.4653
New Orleans,2010,All,0.4784
New Orleans,2016,All,0.4633
New Orleans,1970,Black or African American,0.2672
New Orleans,1980,Black or African American,0.3086
New Orleans,1990,Black or African American,0.3605
New Orleans,2000,Black or African American,0.4159
New Orleans,2010,Black or African American,0.454
New Orleans,2016,Black or African American,0.4093
New Orleans,1970,Hispanic or Latino,0
New Orleans,1980,Hispanic or Latino,0.3258
New Orleans,1990,Hispanic or Latino,0.376
New Orleans,2000,Hispanic or Latino,0.384
New Orleans,2010,Hispanic or Latino,0.3441
New Orleans,2016,Hispanic or Latino,0.4195
New Orleans,1970,"White, not Hispanic",0.4595
New Orleans,1980,"White, not Hispanic",0.4862
New Orleans,1990,"White, not Hispanic",0.5474
New Orleans,2000,"White, not Hispanic",0.5596
New Orleans,2010,"White, not Hispanic",0.5282
United States,1980,"White, not Hispanic",0.6783
United States,2016,"White, not Hispanic",0.712
New Orleans,2016,"White, not Hispanic",0.5385
United States,2000,Hispanic or Latino,0.4568
United States,1970,All,0
United States,2010,All,0.651
United States,2010,Black or African American,0.4431
United States,1980,All,0.6443
United States,2000,All,0.6619
United States,1990,All,0.6419
United States,2000,Black or African American,0.4627
United States,1970,Hispanic or Latino,0
United States,2016,All,0.6312
United States,1970,Black or African American,0
United States,1980,Black or African American,0.4443
United States,2016,Hispanic or Latino,0.4547
United States,2016,Black or African American,0.4074
United States,1990,Black or African American,0.4338
United States,1990,Hispanic or Latino,0.4241
United States,2000,"White, not Hispanic",0.7245
United States,1990,"White, not Hispanic",0.6907
United States,1980,Hispanic or Latino,0.4339
United States,2010,Hispanic or Latino,0.4731
United States,2010,"White, not Hispanic",0.7225
United States,1970,"White, not Hispanic",0
