"","Hispanic origin","Orleans","Jefferson","New Orleans Metro Area","United States"
"1","MexicanPct",0.262114229856165,0.136627096054304,0.212279111916629,0.614836102780498
"2","PuertoRicanPct",0.0290462225946097,0.0490190000929858,0.0427921647903524,0.0963713249944868
"3","CubanPct",0.0658194851743239,0.143941976877538,0.107289742427939,0.0393765914099107
"4","DominicanPct",0.0141507238281432,0.0540402318445278,0.0342441880729148,0.0346256868973326
"5","GuatemalanPct",0.0287203835590932,0.0438892849394043,0.0347757136384232,0.0278281152796085
"6","HonduranPct",0.271470465018852,0.270914050150327,0.248762678191767,0.0179151574096422
"7","NicaraguanPct",0.023739701159056,0.109149800080588,0.0705534836708375,0.00710133268970112
"8","SalvadoranPct",0.0235535074244752,0.0373337879304466,0.0375727580077376,0.0382193662200162
"9","OtherCAPct",0.0899315738025415,0.0590769612249326,0.060829179882193,0.000966473421584093
"10","SouthAmericanPct",0.113391984359726,0.0368843566934259,0.0588076400264891,0.0640401981781412
"11","OtherPct",0.0630731275892566,0.0544741654526857,0.0848785333379806,0.0527460467163101
"12","Cubanpct",0.0658194851743239,0.143941976877538,0.107289742427939,0.0393765914099107
"13","Dominicanpct",0.0141507238281432,0.0540402318445278,0.0342441880729148,0.0346256868973326
"14","Mexicanpct",0.262114229856165,0.136627096054304,0.212279111916629,0.614836102780498
"15","PuertoRicanpct",0.0290462225946097,0.0490190000929858,0.0427921647903524,0.0963713249944868
"16","Honduranpct",0.271470465018852,0.270914050150327,0.248762678191767,0.0179151574096422
"17","Guatemalanpct",0.0287203835590932,0.0438892849394043,0.0347757136384232,0.0278281152796085
"18","Nicaraguanpct",0.023739701159056,0.109149800080588,0.0705534836708375,0.00710133268970112
"19","Salvadoranpct",0.0235535074244752,0.0373337879304466,0.0375727580077376,0.0382193662200162
"20","OtherCApct",0.0899315738025415,0.0590769612249326,0.060829179882193,0.000966473421584093
"21","SouthAmericanpct",0.113391984359726,0.0368843566934259,0.0588076400264891,0.0640401981781412
"22","Otherpct",0.0630731275892566,0.0544741654526857,0.0848785333379806,0.0527460467163101
