"","DateDesc","Jefferson","Orleans","Plaquemines","St. Bernard","St. Charles","St. James","St. John the Baptist","St. Tammany"
"1","4/1/2010 Census population",53702,18051,1067,3309,2648,256,2175,10970
"2","7/1/2010 population estimate",53989,18238,1079,3380,2652,258,2170,11127
"3","4/1/2010 population estimates base",53704,18051,1067,3309,2651,256,2170,10971
"4","7/1/2011 population estimate",56205,18981,1205,3718,2661,272,2255,11592
"5","7/1/2014 population estimate",59716,20648,1463,4341,2951,331,2386,12797
"6","7/1/2012 population estimate",57256,19561,1315,3930,2775,289,2262,11882
"7","7/1/2015 population estimate",61183,21088,1599,4577,3067,316,2470,13270
"8","7/1/2013 population estimate",58496,20473,1395,4163,2836,323,2275,12280
"9","7/1/2016 population estimate",62595,21373,1614,4558,3183,345,2515,13833
"10","7/1/2017 population estimate",63322,21427,1710,4542,3227,363,2614,14436
"11","7/1/2018 population estimate",63894,21696,1804,4721,3302,359,2711,14788
"12","7/1/2019 population estimate",64527,21484,1826,4876,3384,387,2857,15316
