"","Hispanic origin","071","051","35380","1"
"1","Cubanpct",0.0568616175624937,0.0560115280997431,0.0532840918116115,0.0394231667145045
"2","Dominicanpct",0.041200148834692,0.0346344214021678,0.038114526248908,0.0368129997359391
"3","Mexicanpct",0.179041369279167,0.167545893114467,0.159876101977603,0.583225950973466
"4","PuertoRicanpct",0.0630856137739742,0.0514504103752898,0.0601937892145183,0.0896646785828068
"5","Honduranpct",0.223996211480567,0.313200927260197,0.289119212135652,0.0210871071364956
"6","Guatemalanpct",0.0487433616344755,0.0994925130004386,0.0771979985704074,0.0309682594687155
"7","Nicaraguanpct",0.0516862294083821,0.0600087713802393,0.0543721705980462,0.00924930055179225
"8","Salvadoranpct",0.037919020397118,0.0384186454482802,0.0332539115241045,0.0402200623125996
"9","OtherCApct",0,0.0116534051751143,0.00738622825827972,0.000452392918132663
"10","SouthAmericanpct",0.0743158678077326,0.0366142472276173,0.041728218568819,0.078595843244572
"11","Otherpct",0.185502147955214,0.116433807405551,0.160590898260662,0.0637581568773495
